event_id,record_id,event_type,event_ts
E001,SHP-001,inspection,2026-04-15
E002,FAC-001,filing,2026-03-20
E003,LAB-001,renewal,2026-02-10
E004,SHP-002,renewal,2026-04-01
E005,KSP-001,inspection,2026-03-15
E006,SHP-003,filing,2026-01-05
E007,FAC-002,inspection,2025-12-20
E008,SHP-004,renewal,2026-04-28
E009,KSP-002,filing,2026-04-10
E010,LAB-002,renewal,2025-06-15
E011,SHP-005,inspection,2025-08-20
E012,FAC-003,filing,2025-05-10
E013,SHP-006,renewal,2026-03-25
E014,FAC-004,inspection,2026-04-05
E015,SHP-007,renewal,2026-02-18
E016,KSP-003,filing,2026-03-01
E017,SHP-008,inspection,2024-11-20
E018,FAC-005,renewal,2024-10-15
E019,LAB-003,renewal,2026-04-22
E020,SHP-009,filing,2026-03-30
E021,SHP-010,inspection,2026-01-12
E022,FAC-006,renewal,2026-02-08
E023,KSP-004,filing,2026-04-15
E024,SHP-011,renewal,2026-04-20
E025,LAB-004,inspection,2026-03-18
E026,SHP-012,filing,2026-04-25
E027,FAC-007,renewal,2026-03-10
E028,SHP-013,inspection,2025-01-15
E029,KSP-005,renewal,2025-02-20
E030,SHP-014,filing,2026-04-12
E031,FAC-008,inspection,2026-03-28
E032,SHP-015,renewal,2026-02-14
E033,LAB-005,filing,2026-04-08
E034,SHP-016,inspection,2026-03-22
E035,FAC-009,renewal,2026-04-18
E036,SHP-017,filing,2024-08-10
E037,KSP-006,inspection,2024-09-15
E038,SHP-018,renewal,2026-04-30
E039,LAB-006,filing,2026-03-05
E040,SHP-019,inspection,2026-02-25
E041,FAC-010,renewal,2026-04-02
E042,SHP-020,filing,2026-03-12
E043,SHP-021,inspection,2026-04-16
E044,KSP-007,renewal,2026-03-08
E045,SHP-022,filing,2025-11-25
E046,FAC-011,inspection,2025-10-30
E047,SHP-023,renewal,2026-01-20
E048,LAB-007,filing,2026-02-15
E049,SHP-024,inspection,2026-04-27
E050,SHP-025,renewal,2026-03-19
E051,SHP-001,renewal,2025-11-10
E052,FAC-002,filing,2026-04-03
E053,SHP-006,inspection,2025-09-18
E054,KSP-003,renewal,2025-12-22
E055,SHP-010,filing,2025-10-05
E056,FAC-006,inspection,2026-01-08
E057,SHP-012,renewal,2025-11-30
E058,SHP-014,inspection,2026-02-20
E059,FAC-009,filing,2025-12-15
E060,SHP-016,renewal,2026-01-25
E061,LAB-005,filing,2024-09-12
E062,KSP-005,renewal,2026-04-11
E063,LAB-006,inspection,2026-03-07
E064,FAC-009,filing,2026-04-21
E065,LAB-008,renewal,2026-02-22
E066,KSP-007,inspection,2025-11-08
E067,FAC-011,filing,2026-04-14
E068,LAB-009,renewal,2026-01-31
E069,KSP-008,filing,2026-03-17
